pdf_name,page_number,pdfplumber_table_found,img2table_table_found,tabula_table_found,paddle_max_probabilities,microsoft_max_probabilities,table_found
Education_Chapter_4_2016_AE,47,True,True,True,0.8878555,0.999705135822296,True
Education_Chapter_4_2016_AE,48,True,True,True,0.9832866,0.9997844099998474,True
Education_Chapter_4_2016_AE,49,True,True,True,0.9797497,0.999618649482727,True
Education_Chapter_4_2016_AE,50,True,True,True,0.9461219,0.9996728897094728,True
8_Hotels_and_Resturants_AE_2021,1,False,False,False,0.0,0.6997857689857483,False
8_Hotels_and_Resturants_AE_2021,2,False,False,False,0.0,0.7823679447174072,False
8_Hotels_and_Resturants_AE_2021,3,False,False,False,0.5037439,0.4228890836238861,False
8_Hotels_and_Resturants_AE_2021,4,True,True,True,0.972747,0.9991244673728944,True
8_Hotels_and_Resturants_AE_2021,5,True,True,True,0.96305317,0.9989832043647766,True
8_Hotels_and_Resturants_AE_2021,6,False,True,False,0.0,0.4063449203968048,False
8_Hotels_and_Resturants_AE_2021,7,True,True,False,0.95176965,0.9995114803314208,True
8_Hotels_and_Resturants_AE_2021,8,False,True,False,0.0,0.3349992632865906,False
8_Hotels_and_Resturants_AE_2021,9,True,True,False,0.9794186,0.9964396357536316,True
7_Security_2022_AE,1,False,False,False,0.0,0.7127953767776489,False
7_Security_2022_AE,2,False,False,False,0.4729432,0.5310423970222473,False
7_Security_2022_AE,10,True,True,True,0.95929676,0.9992006421089172,True
7_Security_2022_AE,11,True,True,True,0.97728205,0.9997839331626892,True
7_Security_2022_AE,12,True,True,True,0.9834783,0.999919056892395,True
7_Security_2022_AE,13,True,True,True,0.98616546,0.9996516704559326,True
7_Security_2022_AE,15,False,False,False,0.9832814,0.0,False
7_Security_2022_AE,19,False,True,False,0.9778899,0.0,False
7_Security_2022_AE,32,True,True,True,0.98475313,0.999429166316986,True
7_Security_2022_AE,33,True,True,True,0.9756915,0.9979408383369446,True
7_Security_2022_AE,34,True,True,True,0.96786946,0.9955214262008668,True
7_Security_2022_AE,35,False,False,False,0.0,0.0,False
7_Security_2022_AE,36,True,True,True,0.98269695,0.998161256313324,True
7_Security_2022_AE,37,True,True,False,0.78881955,0.0,False
7_Security_2022_AE,38,True,True,True,0.97660875,0.999642252922058,True
Environment_11_2021_AE,1,False,False,False,0.0,0.6257795095443726,False
Environment_11_2021_AE,2,False,False,False,0.34225124,0.0,False
Environment_11_2021_AE,5,False,True,False,0.98359627,0.9392492771148682,False
Environment_11_2021_AE,8,False,True,False,0.95280886,0.7455176711082458,False
Environment_11_2021_AE,21,False,True,True,0.98450637,0.6042281985282898,False
Environment_11_2021_AE,23,False,False,False,0.9676727,0.3593169748783111,False
Environment_11_2021_AE,32,False,False,False,0.97800833,0.0,False
Environment_11_2017_AE,1,False,False,False,0.0,0.6571202874183655,False
Environment_11_2017_AE,2,True,False,False,0.41177627,0.792914867401123,False
Environment_11_2017_AE,5,False,True,True,0.9844786,0.6854016184806824,False
Environment_11_2017_AE,7,True,True,True,0.934006,0.9968949556350708,True
Environment_11_2017_AE,8,False,True,False,0.85220027,0.6397928595542908,False
Environment_11_2017_AE,9,True,True,True,0.9723602,0.997932195663452,True
Environment_11_2017_AE,10,True,True,True,0.96757644,0.997372269630432,True
Environment_11_2017_AE,11,True,True,True,0.9733482,0.9990184307098388,True
Environment_11_2017_AE,21,False,True,True,0.98605657,0.7405852675437927,False
Environment_11_2017_AE,23,False,False,False,0.98046845,0.4043833315372467,False
Environment_11_2017_AE,32,False,False,False,0.97428787,0.0,False
7_wholesale_retail_trade_2018_AE,1,False,False,False,0.0,0.6548847556114197,False
7_wholesale_retail_trade_2018_AE,2,False,False,False,0.0,0.7823679447174072,False
7_wholesale_retail_trade_2018_AE,3,False,False,False,0.5076658,0.5687633752822876,False
7_wholesale_retail_trade_2018_AE,4,True,True,True,0.9722352,0.9996047616004944,True
7_wholesale_retail_trade_2018_AE,5,True,True,False,0.9615637,0.9998087286949158,True
7_wholesale_retail_trade_2018_AE,6,True,True,True,0.9831306,0.998212456703186,True
7_wholesale_retail_trade_2018_AE,7,False,True,False,0.0,0.5418890714645386,False
7_wholesale_retail_trade_2018_AE,8,True,True,True,0.89121515,0.9945594668388368,True
7_wholesale_retail_trade_2018_AE,9,True,True,True,0.98746413,0.9998494386672974,True
7_wholesale_retail_trade_2018_AE,10,True,True,True,0.9819787,0.9998082518577576,True
vital_statistics_3_2019_AE,1,False,False,False,0.0,0.6225851774215698,False
vital_statistics_3_2019_AE,2,False,False,False,0.5481678,0.468688815832138,False
vital_statistics_3_2019_AE,4,False,True,True,0.98386943,0.3595924377441406,False
vital_statistics_3_2019_AE,9,False,True,False,0.98511666,0.9391613602638244,False
vital_statistics_3_2019_AE,12,False,True,False,0.33762807,0.4934194982051849,False
vital_statistics_3_2019_AE,14,False,True,False,0.9272126,0.7214905619621277,False
vital_statistics_3_2019_AE,16,False,True,False,0.98205227,0.6842899322509766,False
vital_statistics_3_2019_AE,18,False,True,True,0.9838807,0.558866560459137,False
vital_statistics_3_2019_AE,23,False,True,True,0.9852776,0.6161487698554993,False
vital_statistics_3_2019_AE,27,False,True,False,0.0,0.3269610404968261,False
vital_statistics_3_2019_AE,33,False,True,False,0.95331514,0.5749084949493408,False
Population_social_1_2019_AE,1,False,False,False,0.0,0.7323917150497437,False
Population_social_1_2019_AE,2,False,False,False,0.0,0.6544635891914368,False
Population_social_1_2019_AE,3,False,False,False,0.4023527,0.465946763753891,False
Population_social_1_2019_AE,13,False,True,False,0.9723641,0.0,False
Population_social_1_2019_AE,14,False,False,False,0.9701945,0.0,False
Population_social_1_2019_AE,18,False,False,False,0.9787377,0.0,False
3_Manufacturing_Statistics_2018_AE,1,False,False,False,0.0,0.7581642270088196,False
3_Manufacturing_Statistics_2018_AE,2,False,False,False,0.0,0.7823679447174072,False
3_Manufacturing_Statistics_2018_AE,3,False,True,False,0.48123094,0.0,False
3_Manufacturing_Statistics_2018_AE,4,True,True,True,0.93108,0.9993383288383484,True
3_Manufacturing_Statistics_2018_AE,5,True,True,True,0.96166646,0.9998784065246582,True
3_Manufacturing_Statistics_2018_AE,6,True,True,True,0.9504184,0.9996079802513124,True
3_Manufacturing_Statistics_2018_AE,7,False,True,False,0.0,0.5792993307113647,False
3_Manufacturing_Statistics_2018_AE,8,False,True,True,0.6040907,0.4801898300647735,False
3_Manufacturing_Statistics_2018_AE,9,True,True,True,0.9613936,0.99804025888443,True
3_Manufacturing_Statistics_2018_AE,10,True,True,True,0.97970843,0.9962258338928224,True
3_Manufacturing_Statistics_2018_AE,11,False,True,False,0.3345652,0.5766159296035767,False
3_Manufacturing_Statistics_2018_AE,12,False,False,False,0.0,0.5169625878334045,False
3_Manufacturing_Statistics_2018_AE,13,False,False,False,0.0,0.6696927547454834,False
3_Manufacturing_Statistics_2018_AE,14,False,True,False,0.0,0.7409977316856384,False
3_Manufacturing_Statistics_2018_AE,15,False,True,False,0.0,0.6323311924934387,False
3_Manufacturing_Statistics_2018_AE,16,False,False,False,0.0,0.7876680493354797,False
3_Manufacturing_Statistics_2018_AE,17,False,True,False,0.0,0.4309284090995788,False
3_Manufacturing_Statistics_2020_AE,1,False,False,False,0.0,0.706889271736145,False
3_Manufacturing_Statistics_2020_AE,2,False,False,False,0.0,0.7823679447174072,False
3_Manufacturing_Statistics_2020_AE,3,False,False,False,0.42747754,0.0,False
3_Manufacturing_Statistics_2020_AE,4,True,True,True,0.97066295,0.9992546439170836,True
3_Manufacturing_Statistics_2020_AE,5,True,True,True,0.972199,0.999705135822296,True
3_Manufacturing_Statistics_2020_AE,6,True,True,True,0.9795883,0.9998248219490052,True
3_Manufacturing_Statistics_2020_AE,7,False,True,False,0.0,0.748317539691925,False
3_Manufacturing_Statistics_2020_AE,8,False,True,False,0.0,0.6567615270614624,False
3_Manufacturing_Statistics_2020_AE,9,True,True,True,0.97907543,0.9989186525344848,True
3_Manufacturing_Statistics_2020_AE,10,True,True,True,0.96411717,0.9987403750419616,True
3_Manufacturing_Statistics_2020_AE,11,False,True,False,0.3635846,0.617162823677063,False
3_Manufacturing_Statistics_2020_AE,12,False,False,False,0.0,0.4233788549900055,False
3_Manufacturing_Statistics_2020_AE,13,False,False,False,0.0,0.5137404203414917,False
3_Manufacturing_Statistics_2020_AE,14,False,False,False,0.33067515,0.4898933470249176,False
3_Manufacturing_Statistics_2020_AE,15,False,True,False,0.74391705,0.7814940810203552,False
3_Manufacturing_Statistics_2020_AE,16,False,True,False,0.0,0.7215734124183655,False
3_Manufacturing_Statistics_2020_AE,17,False,False,False,0.40945414,0.7379557490348816,False
3_Manufacturing_Statistics_2020_AE,18,False,True,False,0.0,0.3279209733009338,False
8_Hotels_and_Resturants_AE_2018,1,False,False,False,0.0,0.664806604385376,False
8_Hotels_and_Resturants_AE_2018,2,False,False,False,0.0,0.7873715758323669,False
8_Hotels_and_Resturants_AE_2018,3,False,False,False,0.0,0.4336669147014618,False
8_Hotels_and_Resturants_AE_2018,4,True,True,True,0.9454343,0.9986827969551086,True
8_Hotels_and_Resturants_AE_2018,5,True,True,True,0.9706771,0.9987504482269288,True
8_Hotels_and_Resturants_AE_2018,6,False,False,False,0.95396733,0.5264892578125,False
8_Hotels_and_Resturants_AE_2018,7,True,True,True,0.9625884,0.99965500831604,True
8_Hotels_and_Resturants_AE_2018,8,False,True,False,0.0,0.5233913660049438,False
8_Hotels_and_Resturants_AE_2018,9,True,True,True,0.9703923,0.9936823844909668,True
Population_Social_Statistics_Q1_2023_AE,1,False,False,False,0.0,0.68297278881073,False
Population_Social_Statistics_Q1_2023_AE,2,False,False,False,0.0,0.3994737267494201,False
Population_Social_Statistics_Q1_2023_AE,3,True,True,True,0.9835517,0.9989890456199646,False
Population_Social_Statistics_Q1_2023_AE,4,True,True,True,0.9874819,0.999281108379364,False
Population_Social_Statistics_Q1_2023_AE,5,True,True,True,0.98880225,0.9986530542373656,False
Population_Social_Statistics_Q1_2023_AE,6,False,False,False,0.0,0.7347230911254883,False
Population_Social_Statistics_Q1_2023_AE,8,True,True,False,0.38007984,0.529872715473175,False
Population_Social_Statistics_Q1_2023_AE,10,True,True,False,0.9647034,0.0,False
Population_Social_Statistics_Q1_2023_AE,12,True,True,False,0.9504823,0.4525292217731476,False
Population_Social_Statistics_Q1_2023_AE,13,False,True,False,0.0,0.3626143932342529,False
Population_Social_Statistics_Q1_2023_AE,19,False,True,False,0.5940352,0.4711476564407348,False
Population_Social_Statistics_Q1_2023_AE,21,False,True,False,0.0,0.6079118251800537,False
